timestamp,timer_running,timer_value,session_type
2026-01-22T00:17:18.281Z,true,04:03,breakTime
2026-01-22T00:55:36.767Z,true,21:15,work
2026-01-22T01:01:10.099Z,true,15:42,unknown
2026-01-22T01:14:12.865Z,true,02:41,unknown
2026-01-22T01:40:20.998Z,true,07:01,work
2026-01-22T03:27:02.719Z,false,00:00,unknown
2026-01-22T04:35:36.855Z,false,00:00,unknown
2026-01-22T05:05:42.294Z,false,00:00,unknown
2026-01-22T05:46:10.118Z,false,00:00,unknown
2026-01-22T06:00:51.241Z,false,00:00,unknown
2026-01-22T06:51:39.137Z,false,00:00,unknown
2026-01-22T07:21:42.632Z,false,00:00,unknown
2026-01-22T07:47:21.748Z,false,00:00,unknown
2026-01-22T07:59:10.809Z,false,00:00,unknown
2026-01-22T08:47:38.744Z,true,11:05,unknown
2026-01-22T09:19:43.882Z,true,10:28,unknown
2026-01-22T09:51:32.048Z,true,02:41,breakTime
2026-01-22T10:20:23.122Z,true,08:22,work
2026-01-22T10:51:31.653Z,true,08:55,unknown
2026-01-22T11:17:58.804Z,true,15:26,unknown
2026-01-22T11:41:09.270Z,true,00:18,unknown
2026-01-22T11:56:03.067Z,true,12:59,work
2026-01-22T13:00:15.091Z,false,00:00,unknown
2026-01-22T13:53:31.920Z,false,00:00,unknown
2026-01-22T14:59:05.516Z,true,08:30,unknown
2026-01-22T15:40:57.675Z,true,02:20,unknown
2026-01-22T16:02:03.511Z,true,06:19,work
2026-01-22T16:49:06.294Z,false,00:00,unknown
2026-01-22T17:19:03.907Z,true,11:07,work
2026-01-22T17:50:36.460Z,true,09:46,unknown
2026-01-22T18:18:53.471Z,true,11:53,unknown
2026-01-22T18:55:41.467Z,true,06:31,work
2026-01-22T19:28:18.640Z,false,00:00,unknown
2026-01-22T19:47:11.394Z,false,00:00,unknown
2026-01-22T19:59:03.778Z,false,00:00,unknown
2026-01-22T20:38:10.600Z,true,23:48,work
2026-01-22T20:57:43.443Z,true,04:20,unknown
2026-01-22T21:32:43.217Z,true,04:41,breakTime
2026-01-22T21:52:02.167Z,true,10:39,unknown
2026-01-22T22:16:58.641Z,true,16:05,unknown
2026-01-22T22:43:52.741Z,true,19:31,unknown
2026-01-22T22:59:26.446Z,true,03:59,work
2026-01-22T23:30:54.130Z,true,04:09,unknown
2026-01-22T23:48:04.551Z,true,21:43,work
2026-01-22T23:59:18.628Z,true,10:31,unknown
2026-01-23T02:25:49.012Z,false,00:00,unknown
2026-01-23T03:53:48.194Z,false,00:00,unknown
2026-01-23T04:41:45.546Z,false,00:00,unknown
2026-01-23T05:15:35.529Z,false,00:00,unknown
2026-01-23T05:47:08.077Z,false,00:00,unknown
2026-01-23T05:59:55.967Z,false,00:00,unknown
2026-01-23T06:50:44.141Z,false,00:00,unknown
2026-01-23T07:18:39.544Z,false,00:00,unknown
2026-01-23T07:42:49.066Z,false,00:00,unknown
2026-01-23T07:55:09.007Z,false,00:00,unknown
2026-01-23T08:34:23.942Z,false,00:00,unknown
2026-01-23T08:59:54.711Z,false,00:00,unknown
2026-01-23T09:39:57.911Z,false,00:00,unknown
2026-01-23T09:57:27.850Z,false,00:00,unknown
2026-01-23T10:35:31.775Z,false,00:00,unknown
2026-01-23T10:56:41.570Z,true,16:16,unknown
2026-01-23T11:27:24.994Z,false,00:00,unknown
2026-01-23T11:45:49.882Z,false,00:00,unknown
2026-01-23T11:57:49.254Z,true,22:05,unknown
2026-01-23T13:05:46.136Z,true,16:06,unknown
2026-01-23T13:51:51.291Z,false,00:00,unknown
2026-01-23T14:19:43.353Z,false,00:00,unknown
2026-01-23T14:48:55.508Z,false,00:00,unknown
2026-01-23T15:13:36.908Z,false,00:00,unknown
2026-01-23T15:44:10.618Z,true,10:56,unknown
2026-01-23T16:01:17.355Z,false,00:00,unknown
2026-01-23T16:46:16.499Z,false,00:00,unknown
2026-01-23T17:15:11.038Z,true,10:16,unknown
2026-01-23T17:45:27.242Z,true,11:52,work
2026-01-23T17:58:03.292Z,true,04:35,breakTime
2026-01-23T18:48:29.087Z,true,09:51,work
2026-01-23T19:14:51.114Z,true,14:11,unknown
2026-01-23T19:36:49.609Z,false,00:00,unknown
2026-01-23T19:50:00.455Z,true,12:10,unknown
2026-01-23T20:13:27.228Z,true,18:57,unknown
2026-01-23T20:42:57.334Z,true,19:42,unknown
2026-01-23T20:58:42.357Z,true,03:59,work
2026-01-23T21:30:12.612Z,true,02:45,unknown
2026-01-23T21:47:18.325Z,true,16:18,unknown
2026-01-23T21:58:58.343Z,true,04:40,work
2026-01-23T22:29:11.493Z,true,04:56,work
2026-01-23T22:47:41.857Z,true,16:50,work
2026-01-23T22:59:06.363Z,true,05:28,work
2026-01-23T23:30:54.733Z,true,04:03,unknown
2026-01-23T23:47:34.936Z,true,18:04,work
2026-01-23T23:58:43.277Z,true,06:56,unknown
2026-01-24T02:21:17.659Z,false,00:00,unknown
2026-01-24T03:46:44.922Z,false,00:00,unknown
2026-01-24T04:23:51.103Z,false,00:00,unknown
2026-01-24T04:54:20.615Z,false,00:00,unknown
2026-01-24T05:21:57.549Z,false,00:00,unknown
2026-01-24T05:43:21.195Z,false,00:00,unknown
2026-01-24T05:55:05.267Z,false,00:00,unknown
2026-01-24T06:35:00.236Z,false,00:00,unknown
2026-01-24T06:58:03.635Z,false,00:00,unknown
2026-01-24T07:27:44.291Z,false,00:00,unknown
2026-01-24T07:42:35.949Z,false,00:00,unknown
2026-01-24T07:54:14.774Z,false,00:00,unknown
2026-01-24T08:27:22.464Z,false,00:00,unknown
2026-01-24T08:51:36.972Z,false,00:00,unknown
2026-01-24T09:14:25.007Z,false,00:00,unknown
2026-01-24T09:36:32.099Z,false,00:00,unknown
2026-01-24T09:49:48.328Z,false,00:00,unknown
2026-01-24T10:10:20.010Z,false,00:00,unknown
2026-01-24T10:38:21.676Z,false,00:00,unknown
2026-01-24T10:53:12.883Z,false,00:00,unknown
2026-01-24T11:15:46.980Z,false,00:00,unknown
2026-01-24T11:32:22.034Z,false,00:00,unknown
2026-01-24T11:45:21.715Z,false,00:00,unknown
2026-01-24T11:57:04.221Z,false,00:00,unknown
2026-01-24T12:55:56.060Z,false,00:00,unknown
2026-01-24T13:33:50.984Z,false,00:00,unknown
2026-01-24T13:50:49.130Z,false,00:00,unknown
2026-01-24T14:11:56.010Z,false,00:00,unknown
2026-01-24T14:36:31.178Z,false,00:00,unknown
2026-01-24T14:51:16.342Z,false,00:00,unknown
2026-01-24T15:12:54.181Z,false,00:00,unknown
2026-01-24T15:34:43.944Z,false,00:00,unknown
2026-01-24T15:48:26.533Z,false,00:00,unknown
2026-01-24T15:59:42.240Z,false,00:00,unknown
2026-01-24T16:36:03.017Z,false,00:00,unknown
2026-01-24T16:54:18.143Z,false,00:00,unknown
2026-01-24T17:18:09.149Z,false,00:00,unknown
2026-01-24T17:38:27.484Z,false,00:00,unknown
2026-01-24T17:50:29.419Z,false,00:00,unknown
2026-01-24T18:16:58.464Z,false,00:00,unknown
2026-01-24T18:48:36.414Z,false,00:00,unknown
2026-01-24T19:01:18.752Z,false,00:00,unknown
2026-01-24T19:25:04.015Z,false,00:00,unknown
2026-01-24T19:38:44.525Z,false,00:00,unknown
2026-01-24T19:50:27.707Z,false,00:00,unknown
2026-01-24T20:11:47.230Z,false,00:00,unknown
2026-01-24T20:35:59.982Z,false,00:00,unknown
2026-01-24T20:50:51.396Z,false,00:00,unknown
2026-01-24T21:11:08.500Z,false,00:00,unknown
2026-01-24T21:31:24.428Z,false,00:00,unknown
2026-01-24T21:44:59.554Z,false,00:00,unknown
2026-01-24T21:56:42.224Z,false,00:00,unknown
2026-01-24T22:26:37.842Z,false,00:00,unknown
2026-01-24T22:45:36.439Z,false,00:00,unknown
2026-01-24T22:57:15.115Z,false,00:00,unknown
2026-01-24T23:27:05.936Z,false,00:00,unknown
2026-01-24T23:43:45.036Z,false,00:00,unknown
2026-01-24T23:55:00.619Z,false,00:00,unknown
2026-01-25T02:04:39.902Z,false,00:00,unknown
2026-01-25T04:00:17.704Z,false,00:00,unknown
2026-01-25T04:57:09.744Z,false,00:00,unknown
2026-01-25T05:34:40.060Z,false,00:00,unknown
2026-01-25T05:54:31.915Z,false,00:00,unknown
2026-01-25T06:33:50.912Z,false,00:00,unknown
2026-01-25T06:58:40.258Z,false,00:00,unknown
2026-01-25T07:29:46.659Z,false,00:00,unknown
2026-01-25T07:45:42.213Z,false,00:00,unknown
2026-01-25T07:57:13.377Z,false,00:00,unknown
2026-01-25T08:36:52.485Z,false,00:00,unknown
2026-01-25T08:55:45.469Z,false,00:00,unknown
2026-01-25T09:26:50.976Z,false,00:00,unknown
2026-01-25T09:45:27.297Z,false,00:00,unknown
2026-01-25T09:56:57.957Z,false,00:00,unknown
2026-01-25T10:29:51.683Z,false,00:00,unknown
2026-01-25T10:49:36.030Z,false,00:00,unknown
2026-01-25T11:01:25.488Z,false,00:00,unknown
2026-01-25T11:26:42.083Z,false,00:00,unknown
2026-01-25T11:42:09.865Z,false,00:00,unknown
2026-01-25T11:53:50.383Z,false,00:00,unknown
2026-01-25T12:40:36.743Z,false,00:00,unknown
2026-01-25T13:22:28.087Z,false,00:00,unknown
2026-01-25T13:48:55.648Z,false,00:00,unknown
2026-01-25T14:00:21.692Z,false,00:00,unknown
2026-01-25T14:30:25.105Z,false,00:00,unknown
2026-01-25T14:48:08.192Z,false,00:00,unknown
2026-01-25T14:59:04.147Z,false,00:00,unknown
2026-01-25T15:29:48.268Z,false,00:00,unknown
2026-01-25T15:45:59.304Z,false,00:00,unknown
2026-01-25T15:57:47.687Z,false,00:00,unknown
2026-01-25T16:35:58.544Z,false,00:00,unknown
2026-01-25T16:54:54.190Z,false,00:00,unknown
2026-01-25T17:20:03.210Z,false,00:00,unknown
2026-01-25T17:39:55.990Z,false,00:00,unknown
2026-01-25T17:51:59.631Z,false,00:00,unknown
2026-01-25T18:21:46.755Z,false,00:00,unknown
2026-01-25T18:50:59.362Z,false,00:00,unknown
2026-01-25T19:11:09.718Z,false,00:00,unknown
2026-01-25T19:30:03.533Z,false,00:00,unknown
2026-01-25T19:43:51.476Z,false,00:00,unknown
2026-01-25T19:55:42.494Z,false,00:00,unknown
2026-01-25T20:28:57.892Z,false,00:00,unknown
2026-01-25T20:48:11.620Z,false,00:00,unknown
2026-01-25T21:00:07.657Z,false,00:00,unknown
2026-01-25T21:28:25.923Z,false,00:00,unknown
2026-01-25T21:44:51.588Z,false,00:00,unknown
2026-01-25T21:56:36.461Z,false,00:00,unknown
2026-01-25T22:27:05.622Z,false,00:00,unknown
2026-01-25T22:47:32.411Z,false,00:00,unknown
2026-01-25T22:58:36.208Z,false,00:00,unknown
2026-01-25T23:28:59.625Z,false,00:00,unknown
2026-01-25T23:45:38.665Z,false,00:00,unknown
2026-01-25T23:57:23.064Z,false,00:00,unknown
2026-01-26T02:35:23.655Z,false,00:00,unknown
2026-01-26T04:09:38.447Z,false,00:00,unknown
2026-01-26T05:04:17.572Z,false,00:00,unknown
2026-01-26T05:46:44.801Z,false,00:00,unknown
2026-01-26T06:01:35.570Z,false,00:00,unknown
2026-01-26T06:53:58.026Z,false,00:00,unknown
2026-01-26T07:27:31.748Z,false,00:00,unknown
2026-01-26T07:49:50.823Z,false,00:00,unknown
2026-01-26T08:17:07.791Z,false,00:00,unknown
2026-01-26T08:53:20.243Z,false,00:00,unknown
2026-01-26T09:32:04.316Z,false,00:00,unknown
2026-01-26T09:58:46.363Z,false,00:00,unknown
2026-01-26T10:38:32.378Z,false,00:00,unknown
2026-01-26T10:59:06.329Z,false,00:00,unknown
2026-01-26T11:29:54.318Z,false,00:00,unknown
2026-01-26T11:46:43.434Z,false,00:00,unknown
2026-01-26T11:58:25.886Z,false,00:00,unknown
2026-01-26T13:07:24.478Z,false,00:00,unknown
2026-01-26T13:53:23.954Z,true,13:32,unknown
2026-01-26T14:26:41.655Z,true,06:54,unknown
2026-01-26T14:56:47.825Z,true,08:05,work
2026-01-26T15:36:32.571Z,true,04:24,breakTime
2026-01-26T15:58:43.230Z,true,08:48,unknown
2026-01-26T16:47:40.817Z,false,00:00,unknown
2026-01-26T17:18:36.304Z,true,02:08,unknown
2026-01-26T17:49:48.260Z,true,01:28,work
2026-01-26T18:18:27.135Z,true,03:16,work
2026-01-26T18:57:00.794Z,true,00:11,work
2026-01-26T19:30:19.325Z,true,13:10,work
2026-01-26T19:48:09.571Z,true,00:37,unknown
2026-01-26T19:59:38.015Z,true,14:19,unknown
2026-01-26T20:38:11.135Z,true,06:27,unknown
2026-01-26T20:57:44.929Z,true,17:14,work
2026-01-26T21:32:51.434Z,true,12:52,work
2026-01-26T21:51:51.936Z,true,24:15,work
2026-01-26T22:16:06.400Z,true,00:11,unknown
2026-01-26T22:43:42.926Z,true,02:33,work
2026-01-26T22:58:33.688Z,true,18:00,work
2026-01-26T23:31:58.647Z,false,00:00,unknown
2026-01-26T23:50:09.594Z,false,00:00,unknown
2026-01-27T00:57:20.529Z,false,00:00,unknown
2026-01-27T03:08:46.317Z,false,00:00,unknown
2026-01-27T04:16:17.777Z,false,00:00,unknown
2026-01-27T04:59:52.856Z,false,00:00,unknown
2026-01-27T05:37:44.096Z,false,00:00,unknown
2026-01-27T05:56:26.082Z,false,00:00,unknown
2026-01-27T06:45:37.705Z,false,00:00,unknown
2026-01-27T07:16:45.165Z,false,00:00,unknown
2026-01-27T07:44:52.769Z,false,00:00,unknown
2026-01-27T07:58:20.056Z,false,00:00,unknown
2026-01-27T08:45:58.792Z,false,00:00,unknown
2026-01-27T09:18:29.714Z,false,00:00,unknown
2026-01-27T09:51:11.821Z,false,00:00,unknown
2026-01-27T10:19:14.615Z,false,00:00,unknown
2026-01-27T10:51:51.291Z,false,00:00,unknown
2026-01-27T11:18:23.332Z,false,00:00,unknown
2026-01-27T11:41:27.367Z,false,00:00,unknown
2026-01-27T11:56:57.797Z,false,00:00,unknown
2026-01-27T13:06:48.045Z,false,00:00,unknown
2026-01-27T13:55:42.666Z,false,00:00,unknown
2026-01-27T14:35:06.618Z,false,00:00,work
2026-01-27T15:02:29.465Z,true,00:03,unknown
2026-01-27T15:40:49.463Z,true,23:01,work
2026-01-27T15:59:14.683Z,true,04:44,work
2026-01-27T16:41:00.014Z,true,17:41,unknown
2026-01-27T17:05:13.372Z,false,00:00,unknown
2026-01-27T17:43:31.204Z,false,00:00,unknown
2026-01-27T18:01:07.805Z,false,00:00,unknown
2026-01-27T18:54:51.545Z,true,12:39,unknown
2026-01-27T19:27:58.428Z,true,23:17,unknown
2026-01-27T19:49:49.990Z,true,01:37,unknown
2026-01-27T20:11:36.444Z,true,10:09,work
2026-01-27T20:40:54.777Z,true,10:57,unknown
2026-01-27T20:57:38.701Z,false,00:00,work
2026-01-27T21:27:11.266Z,true,00:55,breakTime
2026-01-27T21:45:40.505Z,false,00:00,unknown
2026-01-27T21:57:16.926Z,false,00:00,unknown
2026-01-27T22:30:27.325Z,false,00:00,unknown
2026-01-27T22:50:38.306Z,true,08:02,work
2026-01-27T23:13:09.546Z,true,01:11,work
2026-01-27T23:37:40.454Z,false,00:00,unknown
2026-01-27T23:53:26.237Z,false,00:00,unknown
2026-01-28T01:40:35.414Z,false,00:00,unknown
2026-01-28T03:25:17.635Z,false,00:00,unknown
2026-01-28T04:31:48.865Z,false,00:00,unknown
2026-01-28T05:03:03.957Z,false,00:00,unknown
2026-01-28T05:41:43.530Z,false,00:00,unknown
2026-01-28T05:58:54.313Z,false,00:00,unknown
2026-01-28T06:51:15.110Z,false,00:00,unknown
2026-01-28T07:19:49.997Z,false,00:00,unknown
2026-01-28T07:44:41.440Z,false,00:00,unknown
2026-01-28T07:57:27.540Z,false,00:00,unknown
2026-01-28T08:45:27.464Z,false,00:00,unknown
2026-01-28T09:19:38.393Z,false,00:00,unknown
2026-01-28T09:52:29.948Z,false,00:00,unknown
2026-01-28T10:23:31.498Z,false,00:00,unknown
2026-01-28T10:54:39.904Z,false,00:00,unknown
2026-01-28T11:23:43.268Z,false,00:00,unknown
2026-01-28T11:44:31.179Z,false,00:00,unknown
2026-01-28T11:57:45.100Z,false,00:00,unknown
2026-01-28T13:09:46.875Z,false,00:00,unknown
2026-01-28T13:57:00.497Z,false,00:00,unknown
2026-01-28T14:38:44.575Z,false,00:00,unknown
2026-01-28T15:03:23.436Z,false,00:00,unknown
2026-01-28T15:47:58.831Z,true,04:55,breakTime
2026-01-28T16:19:37.046Z,true,23:36,unknown
2026-01-28T17:02:07.310Z,true,11:51,unknown
2026-01-28T17:45:21.072Z,true,04:42,breakTime
2026-01-28T18:03:03.587Z,true,12:15,work
2026-01-28T18:52:05.250Z,true,00:06,breakTime
2026-01-28T19:23:07.223Z,false,00:00,work
2026-01-28T19:50:31.399Z,true,19:50,unknown
2026-01-28T20:18:25.127Z,true,22:21,unknown
2026-01-28T20:52:57.529Z,true,18:16,unknown
2026-01-28T21:26:35.692Z,true,15:02,work
2026-01-28T21:54:34.819Z,true,17:29,work
2026-01-28T22:28:15.317Z,true,14:14,work
2026-01-28T22:56:26.732Z,false,00:00,unknown
2026-01-28T23:31:46.194Z,true,20:31,unknown
2026-01-28T23:53:13.529Z,true,04:17,breakTime
2026-01-29T01:49:26.287Z,true,05:02,work
2026-01-29T03:57:39.076Z,false,00:00,unknown
2026-01-29T05:10:11.730Z,false,00:00,unknown
2026-01-29T05:59:32.878Z,false,00:00,unknown
2026-01-29T07:02:11.916Z,false,00:00,unknown
2026-01-29T07:50:58.856Z,false,00:00,unknown
2026-01-29T08:28:44.502Z,false,00:00,unknown
2026-01-29T09:08:52.564Z,false,00:00,unknown
2026-01-29T09:59:41.682Z,false,00:00,unknown
2026-01-29T10:51:33.657Z,false,00:00,unknown
2026-01-29T11:25:04.101Z,false,00:00,unknown
2026-01-29T11:53:14.399Z,false,00:00,unknown
2026-01-29T12:52:36.856Z,false,00:00,unknown
2026-01-29T13:57:14.841Z,true,12:07,unknown
2026-01-29T14:48:26.583Z,false,00:00,unknown
2026-01-29T15:22:12.321Z,true,10:59,work
2026-01-29T15:59:37.825Z,true,04:00,unknown
2026-01-29T16:55:17.981Z,false,00:00,unknown
2026-01-29T17:39:29.175Z,true,02:23,unknown
2026-01-29T18:22:38.098Z,false,00:00,work
2026-01-29T19:08:22.837Z,true,20:28,unknown
2026-01-29T19:44:07.394Z,true,00:50,work
2026-01-29T20:01:56.193Z,true,18:51,work
2026-01-29T20:45:50.408Z,true,07:53,work
2026-01-29T21:03:43.193Z,true,20:16,work
